policy_id,segment_id,first_party_collection_use,third_party_sharing_collection,user_choice_control,user_access_edit_deletion,data_retention,data_security,policy_change,do_not_track,international_specific_audiences,other
1636,2,no,yes,no,no,no,no,no,no,no,no
1361,5,no,no,no,no,no,no,no,no,yes,no
919,2,yes,no,no,no,no,no,no,no,no,no
303,23,yes,yes,no,no,no,no,no,no,no,no
144,7,yes,yes,no,no,no,no,no,no,no,no
394,7,no,yes,yes,no,no,no,no,no,no,no
940,97,no,no,no,no,no,no,no,no,yes,no
26,25,yes,no,yes,no,no,no,no,yes,no,no
1164,4,yes,no,no,no,no,no,no,no,no,no
58,40,no,yes,yes,no,no,no,no,no,no,no
652,15,yes,no,no,no,no,no,no,no,no,no
1259,48,no,no,no,no,no,yes,no,no,yes,no
70,65,no,yes,no,no,no,no,no,no,no,no
1259,50,no,no,yes,no,no,no,no,no,no,no
1713,30,no,no,yes,yes,no,no,no,no,no,no
1713,69,no,yes,no,no,no,no,no,no,no,no
591,16,yes,yes,no,no,no,no,no,no,no,no
746,23,no,yes,yes,no,no,no,no,no,yes,no
1582,6,yes,no,no,no,yes,yes,no,no,no,no
807,28,no,no,no,no,no,no,no,no,no,yes
453,28,no,no,yes,no,no,no,no,no,no,no
1683,10,yes,yes,yes,no,no,no,no,no,no,no
26,22,yes,yes,no,no,no,no,no,no,no,no
591,19,yes,yes,no,no,no,no,no,no,no,no
1259,23,no,yes,yes,no,no,no,no,no,no,no
559,16,no,no,no,yes,yes,no,no,no,yes,no
26,37,no,no,yes,no,no,no,no,no,no,no
627,17,no,no,no,no,no,no,no,no,no,yes
1264,6,no,yes,yes,no,no,no,no,no,no,no
1089,9,yes,no,no,no,no,no,no,no,no,no
320,43,no,no,no,no,no,no,yes,no,no,no
1618,25,no,no,yes,no,no,no,no,no,no,no
98,5,yes,yes,yes,no,no,yes,no,no,yes,yes
1666,19,no,no,yes,no,no,no,no,no,no,no
26,20,yes,yes,no,no,no,no,no,no,no,no
940,100,no,no,no,yes,no,no,no,no,yes,yes
348,16,yes,no,yes,no,no,no,no,no,no,no
1703,8,no,no,no,no,no,no,no,no,no,yes
70,48,yes,no,no,no,no,no,no,no,no,no
105,20,yes,no,yes,no,no,no,no,no,no,no
359,33,yes,no,no,no,no,no,no,no,yes,no
348,31,no,yes,yes,no,no,no,no,no,no,no
744,18,no,no,yes,yes,yes,no,no,no,no,no
891,37,no,yes,no,yes,yes,no,no,no,no,no
586,20,no,yes,yes,no,no,no,no,no,no,no
581,6,yes,no,yes,no,no,no,no,no,no,no
453,89,no,no,no,yes,no,no,no,no,yes,no
20,29,no,no,no,no,yes,no,no,no,no,no
21,32,no,no,no,no,no,no,no,no,yes,yes
1470,2,yes,yes,no,no,no,no,no,no,no,no
1360,3,yes,no,no,no,no,no,no,no,no,no
1636,21,no,yes,no,no,no,no,no,no,no,no
359,19,no,yes,no,no,no,no,no,no,no,no
135,5,yes,yes,yes,no,no,no,no,no,no,yes
1070,31,no,no,no,no,no,no,yes,no,no,no
1468,7,no,no,yes,no,yes,yes,no,no,yes,no
1666,11,yes,no,no,no,no,no,no,no,no,no
93,30,yes,no,yes,no,no,no,no,no,no,no
394,9,yes,no,no,no,no,no,no,no,no,no
1206,8,no,yes,no,no,no,no,no,no,no,no
1306,4,yes,yes,no,no,no,yes,no,no,no,no
1637,11,no,no,yes,no,no,no,no,no,no,no
